item_id,item_code,item_name,name_en,item_type,item_sub_type,quality,level,rarity,stack_limit,bag_size,weight,can_buy,buy_price,can_sell,sell_price,can_search_get,can_monster_drop,safe_box_allowed,is_consumable,is_battle_consumption,is_search_loot,durability_max,use_time,use_cd,target_type,effect_type,effect_value,loot_value,combat_power_score,source_desc,desc,sort_order,is_enable
2012,reinforced_armor_patch,强化修补板,reinforced_armor_patch,2,202,4,3,3,2,1,1,1,210,1,90,1,0,1,1,1,0,0,5,12,1,2,"{""repair_armor"":28}",34,18,商店/中高级宝箱,更高强度的护甲修理道具,111,1
2021,weapon_maintenance_kit,武器维护工具,weapon_maintenance_kit,2,203,3,2,2,3,1,1,1,140,1,60,1,0,1,1,1,0,0,5,12,1,3,"{""repair_weapon_durability"":20}",22,14,商店/工具箱/中级宝箱,恢复武器耐久保障附魔稳定,120,1
2022,advanced_repair_kit,高级武器工具组,advanced_weapon_toolkit,2,203,5,3,4,2,1,1,1,300,1,130,1,0,1,1,1,0,0,6,15,1,3,"{""repair_weapon_durability"":40}",42,24,商店/高级工具箱,高效恢复武器耐久适合高阶战斗,121,1
2031,smoke_canister,战术烟雾罐,tactical_smoke_canister,2,205,3,1,2,2,1,1,1,110,1,45,1,0,0,1,1,0,0,1,10,3,6,"{""duration"":5}",20,18,商店/战术箱,制造烟雾适合转点和撤离,130,1
2032,fire_bottle,燃烧瓶,fire_bottle,2,205,3,1,2,3,1,1,1,145,1,60,1,0,0,1,1,0,0,1,6,2,5,"{""damage"":30,""burn_damage"":3,""duration"":3}",22,20,商店/军需箱,造成爆发伤害并附带灼烧,131,1
2033,shock_grenade,震荡弹,shock_grenade,2,205,4,2,3,2,1,1,1,180,1,75,1,0,0,1,1,0,0,1,8,2,5,"{""damage"":15,""stun_duration"":2}",28,24,商店/军需箱/中级宝箱,低伤害但带控制效果,132,1
2101,stone_fire_lv1,火属性石·一阶,fire_element_stone_lv1,2,204,3,1,2,10,1,1,0,0,1,55,0,1,1,1,1,0,0,0,0,1,4,"{""element"":""fire"",""bonus_min"":5,""bonus_max"":10,""purity_min"":10,""purity_max"":100,""durability_cost"":5}",30,16,怪物掉落,基础火附魔材料可附加灼烧倾向,200,1
2102,stone_water_lv1,水属性石·一阶,water_element_stone_lv1,2,204,3,1,2,10,1,1,0,0,1,55,0,1,1,1,1,0,0,0,0,1,4,"{""element"":""water"",""bonus_min"":5,""bonus_max"":10,""purity_min"":10,""purity_max"":100,""durability_cost"":5}",30,16,怪物掉落,基础水附魔材料可扩展减速效果,201,1
2103,stone_wood_lv2,木属性石·二阶,wood_element_stone_lv2,2,204,4,2,3,10,1,1,0,0,1,110,0,1,1,1,1,0,0,0,0,1,4,"{""element"":""wood"",""bonus_min"":15,""bonus_max"":20,""purity_min"":10,""purity_max"":100,""durability_cost"":6}",46,26,精英怪掉落,中级附魔石适合中期武器强化,202,1
2104,stone_metal_lv2,金属性石·二阶,metal_element_stone_lv2,2,204,4,2,3,10,1,1,0,0,1,110,0,1,1,1,1,0,0,0,0,1,4,"{""element"":""metal"",""bonus_min"":15,""bonus_max"":20,""purity_min"":10,""purity_max"":100,""durability_cost"":6}",46,26,精英怪掉落,中级附魔石可偏向穿透强化,203,1
2105,stone_earth_lv3,土属性石·三阶,earth_element_stone_lv3,2,204,5,3,4,10,1,1,0,0,1,240,0,1,1,1,1,0,0,0,0,1,4,"{""element"":""earth"",""bonus_min"":25,""bonus_max"":30,""purity_min"":10,""purity_max"":100,""durability_cost"":8}",70,38,高阶怪掉落,高级附魔石适合高风险高收益战斗,204,1
3001,broken_scrap_part,破损零件,broken_scrap_part,3,301,1,1,1,20,1,1,0,0,1,12,1,0,1,0,0,1,0,0,0,0,0,"{}",10,0,工具箱/废弃区,最常见的低价值材料用于售卖或制作,300,1
3002,rusty_iron_sheet,生锈铁片,rusty_iron_sheet,3,301,2,1,1,15,1,1,0,0,1,20,1,0,1,0,0,1,0,0,0,0,0,"{}",14,0,工具箱/普通宝箱,常见材料价值略高于基础废料,301,1
3003,refined_metal_plate,精制金属片,refined_metal_plate,3,302,3,2,2,10,1,1,0,0,1,45,1,0,1,0,0,1,0,0,0,0,0,"{}",26,0,工坊区/中级宝箱,较有价值的稀有材料,302,1
3004,energy_core,能量核心,energy_core,3,302,5,3,4,5,2,2,0,0,1,180,1,0,1,0,0,1,0,0,0,0,0,"{}",60,0,高级宝箱/精英守卫,高价值核心资源适合作为中后期收益物,303,1
3005,stable_crystal,稳定晶体,stable_crystal,3,303,4,2,3,8,1,1,0,0,1,75,1,0,1,0,0,1,0,0,0,0,0,"{}",36,0,高危区/工坊区,可作为后续强化或制作的中级材料,304,1
4001,ancient_coin,古代金币,ancient_coin,4,402,3,1,2,20,1,1,0,0,1,60,1,0,1,0,0,1,0,0,0,0,0,"{}",30,0,遗迹区/普通宝箱,体积小价值稳定的贵重品,400,1
4002,gem_pendant,宝石吊坠,gem_pendant,4,401,4,2,3,5,1,1,0,0,1,140,1,0,1,0,0,1,0,0,0,0,0,"{}",58,0,中高级宝箱,小体积高价值适合优先带走,401,1
4003,encrypted_chip,加密数据芯片,encrypted_data_chip,4,403,5,3,4,3,1,1,0,0,1,260,1,0,1,0,0,1,0,0,0,0,0,"{}",88,0,高危区域/高级宝箱,高价值情报类战利品,402,1
4004,relic_seal,遗迹印章,relic_seal,4,402,6,4,5,1,1,1,0,0,1,420,1,0,1,0,0,1,0,0,0,0,0,"{}",120,0,高危遗迹/事件宝箱,极高价值的稀有撤离物,403,1
5001,extract_pass,撤离通行令,extract_pass,5,501,4,2,3,1,1,1,0,0,1,100,1,0,1,1,0,1,0,0,0,3,7,"{""open_special_extract"":1}",48,0,事件宝箱/特殊守卫,开启特殊撤离点的功能道具,500,1
5002,warehouse_keycard,仓库钥匙卡,warehouse_keycard,5,501,5,3,4,1,1,1,0,0,1,180,1,0,1,1,0,1,0,0,0,3,7,"{""open_locked_room"":1}",66,0,守卫掉落/事件点,开启高价值封锁区域,501,1
